,district_id,district_name,state
0,3,Nicobar,Andaman and Nicobar Islands
1,1,North and Middle Andaman,Andaman and Nicobar Islands
2,2,South Andaman,Andaman and Nicobar Islands
0,9,Anantapur,Andhra Pradesh
1,10,Chittoor,Andhra Pradesh
2,11,East Godavari,Andhra Pradesh
3,5,Guntur,Andhra Pradesh
4,4,Krishna,Andhra Pradesh
5,7,Kurnool,Andhra Pradesh
6,12,Prakasam,Andhra Pradesh
7,13,Sri Potti Sriramulu Nellore,Andhra Pradesh
8,14,Srikakulam,Andhra Pradesh
9,8,Visakhapatnam,Andhra Pradesh
10,15,Vizianagaram,Andhra Pradesh
11,16,West Godavari,Andhra Pradesh
12,6,"YSR District, Kadapa (Cuddapah)",Andhra Pradesh
0,22,Anjaw,Arunachal Pradesh
1,20,Changlang,Arunachal Pradesh
2,25,Dibang Valley,Arunachal Pradesh
3,23,East Kameng,Arunachal Pradesh
4,42,East Siang,Arunachal Pradesh
5,17,Itanagar Capital Complex,Arunachal Pradesh
6,24,Kamle,Arunachal Pradesh
7,27,Kra Daadi,Arunachal Pradesh
8,21,Kurung Kumey,Arunachal Pradesh
9,33,Lepa Rada,Arunachal Pradesh
10,29,Lohit,Arunachal Pradesh
11,40,Longding,Arunachal Pradesh
12,31,Lower Dibang Valley,Arunachal Pradesh
13,18,Lower Siang,Arunachal Pradesh
14,32,Lower Subansiri,Arunachal Pradesh
15,36,Namsai,Arunachal Pradesh
16,19,Pakke Kessang,Arunachal Pradesh
17,39,Papum Pare,Arunachal Pradesh
18,35,Shi Yomi,Arunachal Pradesh
19,37,Siang,Arunachal Pradesh
20,30,Tawang,Arunachal Pradesh
21,26,Tirap,Arunachal Pradesh
22,34,Upper Siang,Arunachal Pradesh
23,41,Upper Subansiri,Arunachal Pradesh
24,28,West Kameng,Arunachal Pradesh
25,38,West Siang,Arunachal Pradesh
0,46,Baksa,Assam
1,47,Barpeta,Assam
2,765,Biswanath,Assam
3,57,Bongaigaon,Assam
4,66,Cachar,Assam
5,766,Charaideo,Assam
6,58,Chirang,Assam
7,48,Darrang,Assam
8,62,Dhemaji,Assam
9,59,Dhubri,Assam
10,43,Dibrugarh,Assam
11,67,Dima Hasao,Assam
12,60,Goalpara,Assam
13,53,Golaghat,Assam
14,68,Hailakandi,Assam
15,764,Hojai,Assam
16,54,Jorhat,Assam
17,49,Kamrup Metropolitan,Assam
18,50,Kamrup Rural,Assam
19,51,Karbi-Anglong,Assam
20,69,Karimganj,Assam
21,61,Kokrajhar,Assam
22,63,Lakhimpur,Assam
23,767,Majuli,Assam
24,55,Morigaon,Assam
25,56,Nagaon,Assam
26,52,Nalbari,Assam
27,44,Sivasagar,Assam
28,64,Sonitpur,Assam
29,768,South Salmara Mankachar,Assam
30,45,Tinsukia,Assam
31,65,Udalguri,Assam
32,769,West Karbi Anglong,Assam
0,74,Araria,Bihar
1,78,Arwal,Bihar
2,77,Aurangabad,Bihar
3,83,Banka,Bihar
4,98,Begusarai,Bihar
5,82,Bhagalpur,Bihar
6,99,Bhojpur,Bihar
7,100,Buxar,Bihar
8,94,Darbhanga,Bihar
9,105,East Champaran,Bihar
10,79,Gaya,Bihar
11,104,Gopalganj,Bihar
12,107,Jamui,Bihar
13,91,Jehanabad,Bihar
14,80,Kaimur,Bihar
15,75,Katihar,Bihar
16,101,Khagaria,Bihar
17,76,Kishanganj,Bihar
18,84,Lakhisarai,Bihar
19,70,Madhepura,Bihar
20,95,Madhubani,Bihar
21,85,Munger,Bihar
22,86,Muzaffarpur,Bihar
23,90,Nalanda,Bihar
24,92,Nawada,Bihar
25,97,Patna,Bihar
26,73,Purnia,Bihar
27,81,Rohtas,Bihar
28,71,Saharsa,Bihar
29,96,Samastipur,Bihar
30,102,Saran,Bihar
31,93,Sheikhpura,Bihar
32,87,Sheohar,Bihar
33,88,Sitamarhi,Bihar
34,103,Siwan,Bihar
35,72,Supaul,Bihar
36,89,Vaishali,Bihar
37,106,West Champaran,Bihar
0,108,Chandigarh,Chandigarh
0,110,Balod,Chhattisgarh
1,111,Baloda bazar,Chhattisgarh
2,112,Balrampur,Chhattisgarh
3,113,Bastar,Chhattisgarh
4,114,Bemetara,Chhattisgarh
5,115,Bijapur,Chhattisgarh
6,116,Bilaspur,Chhattisgarh
7,117,Dantewada,Chhattisgarh
8,118,Dhamtari,Chhattisgarh
9,119,Durg,Chhattisgarh
10,120,Gariaband,Chhattisgarh
11,136,Gaurela Pendra Marwahi ,Chhattisgarh
12,121,Janjgir-Champa,Chhattisgarh
13,122,Jashpur,Chhattisgarh
14,123,Kanker,Chhattisgarh
15,135,Kawardha,Chhattisgarh
16,124,Kondagaon,Chhattisgarh
17,125,Korba,Chhattisgarh
18,126,Koriya,Chhattisgarh
19,127,Mahasamund,Chhattisgarh
20,128,Mungeli,Chhattisgarh
21,129,Narayanpur,Chhattisgarh
22,130,Raigarh,Chhattisgarh
23,109,Raipur,Chhattisgarh
24,131,Rajnandgaon,Chhattisgarh
25,132,Sukma,Chhattisgarh
26,133,Surajpur,Chhattisgarh
27,134,Surguja,Chhattisgarh
0,137,Dadra and Nagar Haveli,Dadra and Nagar Haveli
0,138,Daman,Daman and Diu
1,139,Diu,Daman and Diu
0,141,Central Delhi,Delhi
1,145,East Delhi,Delhi
2,140,New Delhi,Delhi
3,146,North Delhi,Delhi
4,147,North East Delhi,Delhi
5,143,North West Delhi,Delhi
6,148,Shahdara,Delhi
7,149,South Delhi,Delhi
8,144,South East Delhi,Delhi
9,150,South West Delhi,Delhi
10,142,West Delhi,Delhi
0,151,North Goa,Goa
1,152,South Goa,Goa
0,154,Ahmedabad,Gujarat
1,770,Ahmedabad Corporation,Gujarat
2,174,Amreli,Gujarat
3,179,Anand,Gujarat
4,158,Aravalli,Gujarat
5,159,Banaskantha,Gujarat
6,180,Bharuch,Gujarat
7,175,Bhavnagar,Gujarat
8,771,Bhavnagar Corporation,Gujarat
9,176,Botad,Gujarat
10,181,Chhotaudepur,Gujarat
11,182,Dahod,Gujarat
12,163,Dang,Gujarat
13,168,Devbhumi Dwaraka,Gujarat
14,153,Gandhinagar,Gujarat
15,772,Gandhinagar Corporation,Gujarat
16,177,Gir Somnath,Gujarat
17,169,Jamnagar,Gujarat
18,773,Jamnagar Corporation,Gujarat
19,178,Junagadh,Gujarat
20,774,Junagadh Corporation,Gujarat
21,156,Kheda,Gujarat
22,170,Kutch,Gujarat
23,183,Mahisagar,Gujarat
24,160,Mehsana,Gujarat
25,171,Morbi,Gujarat
26,184,Narmada,Gujarat
27,164,Navsari,Gujarat
28,185,Panchmahal,Gujarat
29,161,Patan,Gujarat
30,172,Porbandar,Gujarat
31,173,Rajkot,Gujarat
32,775,Rajkot Corporation,Gujarat
33,162,Sabarkantha,Gujarat
34,165,Surat,Gujarat
35,776,Surat Corporation,Gujarat
36,157,Surendranagar,Gujarat
37,166,Tapi,Gujarat
38,155,Vadodara,Gujarat
39,777,Vadodara Corporation,Gujarat
40,167,Valsad,Gujarat
0,193,Ambala,Haryana
1,200,Bhiwani,Haryana
2,201,Charkhi Dadri,Haryana
3,199,Faridabad,Haryana
4,196,Fatehabad,Haryana
5,188,Gurgaon,Haryana
6,191,Hisar,Haryana
7,189,Jhajjar,Haryana
8,204,Jind,Haryana
9,190,Kaithal,Haryana
10,203,Karnal,Haryana
11,186,Kurukshetra,Haryana
12,206,Mahendragarh,Haryana
13,205,Nuh,Haryana
14,207,Palwal,Haryana
15,187,Panchkula,Haryana
16,195,Panipat,Haryana
17,202,Rewari,Haryana
18,192,Rohtak,Haryana
19,194,Sirsa,Haryana
20,198,Sonipat,Haryana
21,197,Yamunanagar,Haryana
0,219,Bilaspur,Himachal Pradesh
1,214,Chamba,Himachal Pradesh
2,217,Hamirpur,Himachal Pradesh
3,213,Kangra,Himachal Pradesh
4,216,Kinnaur,Himachal Pradesh
5,211,Kullu,Himachal Pradesh
